llm_score,sentiment,length_sec,keyword_hit,text,clip_path,predicted_score,label
2,0.0,48.04,0," You got me, you got Kung Fu, and you got noodles!  Noodles, don't noodles.",output/Kung Fu Panda ｜ Who Are You_clip_4.mp4,66,0.0
6,-0.1,24.0,0, I'm never complacent with what I've achieved.  So I'm never really too complacent with myself or with what I've achieved.,output/OBSESSION BEATS TALENT - Michael Jordan Motivation_clip_1.mp4,80,1.0
5,0.0,35.0,0," I feel I still have room to improve.  When I get to a point where I feel I can improve as a player,",output/OBSESSION BEATS TALENT - Michael Jordan Motivation_clip_2.mp4,78,0.0
8,-0.4,90.0,0," I hate Plan B.  And that means that you start thinking about Plan B  and every thought that you put into Plan B,  Because Plan B becomes a safety net.",output/Arnold Schwarzenegger 2018 - The speech that broke_clip_1.mp4,82,1.0
6,0.6875,38.0,0," when he said, you are unbelievably the greatest basketball player of all times.  But it says for me to become the greatest basketball player,  He is one of the greatest basketball players of all times.",output/Arnold Schwarzenegger 2018 - The speech that broke_clip_2.mp4,95,1.0
4,0.0,51.9,0,I went and worked out five hours a day.  I went and worked out five hours a day.  I worked out in the gym and at night from 8 o'clock at night,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_3.mp4,74,0.0
3,0.0,29.0,0,So it gives you still 18 hours.  So if you have 8 hours left.  So now you have still 6 hours left.,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_4.mp4,70,0.0
3,0.5,74.0,0, It's okay.  This is okay.,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_5.mp4,80,1.0
7,0.285714285714286,86.0,0, I was right here.  Here I am.,output/Batman interrogates the Joker ｜ The Dark Knight [4_clip_1.mp4,91,1.0
9,0.42727272727272725,45.5,0," Most people live their lives waiting for the perfect moment.  But the truth is, there is no perfect moment.  Stop waiting for the perfect moment.",output/The 1% Mindset._clip_1.mp4,100,0
8,0.39999999999999997,40.5,0, They don't settle for good enough.  Most people settle when they face resistance.,output/The 1% Mindset._clip_2.mp4,98,0
8,0.0642857142857143,30.02,0," Imagine a bamboo tree.  When you plant a bamboo tree, you have to water it and nurture it every single day.  And then, one day, the bamboo tree shoots up, sometimes growing as much as 90 feet in  All that time, the bamboo was growing roots.",output/The 1% Mindset._clip_3.mp4,91,0
8,-0.07142857142857142,21.88,0, It's about what you do every day.  It's about showing up every single day.,output/The 1% Mindset._clip_4.mp4,87,1
8,-0.31666666666666665,25.18,1, Failure is part of the journey.  They don't see failure as the end.  They embrace failure.,output/The 1% Mindset._clip_5.mp4,98,1
8,-0.05,55.4,0," You can break physically.  You can break mentally.  You can break your spirit.  Because every time you break and in every way that you break,",output/my_video_clip_1.mp4,88,1
8,-0.05,55.4,0," You can break physically.  You can break mentally.  You can break your spirit.  Because every time you break and in every way that you break,",output/my_video_clip_1.mp4,88,1
8,0.0,21.0,0," And as you crawl up and out of that dismal and wretched place, as you rise above what you were, and as you take the form of who you are supposed to be,",output/my_video_clip_2.mp4,87,1
8,0.8,80.0,0, Because I'm a fighter.  Because I win.,output/my_videosk1_clip_1.mp4,100,1
7,0.0,75.0,0," If you give everything you've got,  I gave everything that I had.",output/my_videosk1_clip_2.mp4,86,1
6,0.01785714285714285,20.0,0, You're smart.  Too smart.  You think you're dumb.,output/my_videosk1_clip_3.mp4,78,0
3,0.0,69.0,0," everything,  Everything.",output/my_videosk1_clip_4.mp4,70,0
1,0.0,46.0,0, Yeah.  Yeah.,output/my_videosk1_clip_5.mp4,62,0
2,0.0,70.28,0, I  So I,output/my_videosk_clip_1.mp4,66,0
7,0.4,28.88,0, I was born in it molded by it I didn't see the light until I was already,output/Out_Work_Everyone_clip_1.mp4,94,1
7,-0.21250000000000002,70.72,0, and you're gonna fail and you're gonna fail and then you're gonna win if you are experiencing a losing  do you get to fail and fail and fail and fail and all you gotta do is make more,output/Out_Work_Everyone_clip_2.mp4,81,1
