llm_score,sentiment,length_sec,keyword_hit,text,clip_path,predicted_score,label
2,0.0,48.04,0," You got me, you got Kung Fu, and you got noodles!  Noodles, don't noodles.",output/Kung Fu Panda ｜ Who Are You_clip_4.mp4,66,0.0
6,-0.1,24.0,0, I'm never complacent with what I've achieved.  So I'm never really too complacent with myself or with what I've achieved.,output/OBSESSION BEATS TALENT - Michael Jordan Motivation_clip_1.mp4,80,1.0
5,0.0,35.0,0," I feel I still have room to improve.  When I get to a point where I feel I can improve as a player,",output/OBSESSION BEATS TALENT - Michael Jordan Motivation_clip_2.mp4,78,0.0
8,-0.4,90.0,0," I hate Plan B.  And that means that you start thinking about Plan B  and every thought that you put into Plan B,  Because Plan B becomes a safety net.",output/Arnold Schwarzenegger 2018 - The speech that broke_clip_1.mp4,82,1.0
6,0.6875,38.0,0," when he said, you are unbelievably the greatest basketball player of all times.  But it says for me to become the greatest basketball player,  He is one of the greatest basketball players of all times.",output/Arnold Schwarzenegger 2018 - The speech that broke_clip_2.mp4,95,1.0
4,0.0,51.9,0,I went and worked out five hours a day.  I went and worked out five hours a day.  I worked out in the gym and at night from 8 o'clock at night,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_3.mp4,74,0.0
3,0.0,29.0,0,So it gives you still 18 hours.  So if you have 8 hours left.  So now you have still 6 hours left.,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_4.mp4,70,0.0
3,0.5,74.0,0, It's okay.  This is okay.,output/Arnold Schwarzenegger 2018 - The speech that broke_clip_5.mp4,80,1.0
7,0.285714285714286,86.0,0, I was right here.  Here I am.,output/Batman interrogates the Joker ｜ The Dark Knight [4_clip_1.mp4,91,1.0
9,0.42727272727272725,45.5,0," Most people live their lives waiting for the perfect moment.  But the truth is, there is no perfect moment.  Stop waiting for the perfect moment.",output/The 1% Mindset._clip_1.mp4,100,0
8,0.39999999999999997,40.5,0, They don't settle for good enough.  Most people settle when they face resistance.,output/The 1% Mindset._clip_2.mp4,98,0
8,0.0642857142857143,30.02,0," Imagine a bamboo tree.  When you plant a bamboo tree, you have to water it and nurture it every single day.  And then, one day, the bamboo tree shoots up, sometimes growing as much as 90 feet in  All that time, the bamboo was growing roots.",output/The 1% Mindset._clip_3.mp4,91,0
8,-0.07142857142857142,21.88,0, It's about what you do every day.  It's about showing up every single day.,output/The 1% Mindset._clip_4.mp4,87,1
8,-0.31666666666666665,25.18,1, Failure is part of the journey.  They don't see failure as the end.  They embrace failure.,output/The 1% Mindset._clip_5.mp4,98,1
8,-0.05,55.4,0," You can break physically.  You can break mentally.  You can break your spirit.  Because every time you break and in every way that you break,",output/my_video_clip_1.mp4,88,1
8,-0.05,55.4,0," You can break physically.  You can break mentally.  You can break your spirit.  Because every time you break and in every way that you break,",output/my_video_clip_1.mp4,88,1
8,0.0,21.0,0," And as you crawl up and out of that dismal and wretched place, as you rise above what you were, and as you take the form of who you are supposed to be,",output/my_video_clip_2.mp4,87,1
8,0.8,80.0,0, Because I'm a fighter.  Because I win.,output/my_videosk1_clip_1.mp4,100,1
7,0.0,75.0,0," If you give everything you've got,  I gave everything that I had.",output/my_videosk1_clip_2.mp4,86,1
6,0.01785714285714285,20.0,0, You're smart.  Too smart.  You think you're dumb.,output/my_videosk1_clip_3.mp4,78,0
3,0.0,69.0,0," everything,  Everything.",output/my_videosk1_clip_4.mp4,70,0
1,0.0,46.0,0, Yeah.  Yeah.,output/my_videosk1_clip_5.mp4,62,0
2,0.0,70.28,0, I  So I,output/my_videosk_clip_1.mp4,66,0
7,0.4,28.88,0, I was born in it molded by it I didn't see the light until I was already,output/Out_Work_Everyone_clip_1.mp4,94,1
7,-0.21250000000000002,70.72,0, and you're gonna fail and you're gonna fail and then you're gonna win if you are experiencing a losing  do you get to fail and fail and fail and fail and all you gotta do is make more,output/Out_Work_Everyone_clip_2.mp4,81,1
7,0.5,72.56,0," You're not just losing time,  You don't need more time.","output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_1.mp4",96,1
7,0.0,65.2,0, It activates the same dopamine pathways  You teach your dopamine system that effort itself is the signal,"output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_2.mp4",86,1
6,0.0,23.76,0," In fact, the deeper the discomfort,  It's in that discomfort,","output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_3.mp4",82,0
5,0.39999999999999997,62.72,1," And that kind of motivation doesn't last.  Now, that kind of intrinsic motivation","output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_4.mp4",100,1
5,0.0,57.84,0, in the prefrontal cortex  There's a system in the brain called the salience network.,"output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_5.mp4",78,1
8,0.5,72.56,0," You're not just losing time,  You don't need more time.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_1.mp4,100,1
7,0.0,65.2,0, It activates the same dopamine pathways  You teach your dopamine system that effort itself is the signal,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_2.mp4,86,1
5,0.39999999999999997,62.72,1," And that kind of motivation doesn't last.  Now, that kind of intrinsic motivation",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_3.mp4,100,1
5,0.0,57.84,0, in the prefrontal cortex  There's a system in the brain called the salience network.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_4.mp4,78,1
5,0.6,28.48,0," And eventually,  And when that happens,  And that kind of progress,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_5.mp4,90,1
5,0.0,42.0,0, every day  whenever my friends,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/01161ec13a34489f854654f461600ca5_Importance Of Self Discipline - Mindset Of A Winners ｜ Sunil Chhetri ｜ Raj Shamani Clips_clip_1.mp4,78,0
5,0.0,36.0,0, and you should  and you need that,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/01161ec13a34489f854654f461600ca5_Importance Of Self Discipline - Mindset Of A Winners ｜ Sunil Chhetri ｜ Raj Shamani Clips_clip_2.mp4,78,0
5,0.0,40.0,0," i become second nature  enough times, then you will be second nature  and then you will be second nature",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/01161ec13a34489f854654f461600ca5_Importance Of Self Discipline - Mindset Of A Winners ｜ Sunil Chhetri ｜ Raj Shamani Clips_clip_3.mp4,78,0
5,0.0,28.0,0," he said he will not eat  no, now he is not eating  i will not eat it",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/01161ec13a34489f854654f461600ca5_Importance Of Self Discipline - Mindset Of A Winners ｜ Sunil Chhetri ｜ Raj Shamani Clips_clip_4.mp4,78,0
5,0.0,72.0,0, for the food part  but the food part is  to eat  when it comes to food  the food,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/01161ec13a34489f854654f461600ca5_Importance Of Self Discipline - Mindset Of A Winners ｜ Sunil Chhetri ｜ Raj Shamani Clips_clip_5.mp4,78,0
9,0.475,25.36,0," So when you say, I am becoming someone who speaks with confidence  You don't have to be fully confident",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_1.mp4,100,1
8,0.02500000000000001,27.76,0," If your inner voice is harsh,  When your internal voice becomes calm,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_2.mp4,90,1
8,-0.125,73.28,1," to I am learning, not failing,  In other words, people who saw failures learning  I'm learning, not failing.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_3.mp4,100,1
8,0.30000000000000004,68.08,0," But when you respond with calm presence,  if you speak with intention with presence,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_4.mp4,96,1
7,0.0,64.48,0," It tells your nervous system, I see you.  the ability to notice and interpret signals from within your body.  you've trained your nervous system",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_5.mp4,86,1
9,0.0,39.64,0," If you don't want to go, then I'll go.  But I'm not going to.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_1.mp4,94,0
5,-0.6,49.0,0, Fucking hell.  Fucking hell.  Fucking hell.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_2.mp4,66,1
5,0.0,26.0,0, Birds.  Pigeons.  Birds nest.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_3.mp4,78,0
5,-0.30476190476190473,29.0,0," They fucking put letters.  They fucking put letters in his right.  What is your thing with letters, man?",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_4.mp4,71,1
5,0.0,21.0,0, J-Cole?  It's like J-Cole.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_5.mp4,75,0
8,0.20000000000000004,31.36,0," How much time will you learn in a place?  How much time will you learn in a place, if you have made a mind?  How much time will you learn?",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_1.mp4,94,0
7,0.0,78.04,0, 4th میں اس میں ایک اٹ کرتاوں لہیر  جو بھی سوچ رہنہ کی  میں نہیں او خوش میرے سے نہیں ہو پہ گا  نہیں کمہ سکتے کچھ نہیں کر سکتے  ایسے فیل نہیں ہو سکتا  کر لیس دیں  بچی باتا چیلینج کر میں  کتنی دیرکا دیم پیروض  20 مٹ  20 مٹ  20 مٹنی  20 مٹنی دیگی  دیکھتای کہ سا وہ  جتنے لوگ کو بھی doubt  ہم بھولتے ہیں اس کو  ہم لوگ بھولتے چیلینجا  اور اس میں بہت سارے لوگ  آپ پٹین کر رہے  آپ کی پری فاملی اٹن نہیں کر رہیے  بسکھ بات میں  دین میں راج بہت اعلک رہتا ہے  تو 2-3 دیں بعد میں  آپ کا ایک فاملیم پر  کے تھوڑا سا یہاں  پھر آد دیں بعد میں  ایک دن تو دیکھنے آرہا,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_2.mp4,86,1
6,0.11212121212121211,65.04,1," You asked me, is ten years of success possible in one year?  Ten years?  So, the success of ten years has come in a month.  So, what is the success of ten years?  Ten years can come in a year, if you learn skills in ten years, you will learn them quickly.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_3.mp4,99,1
6,0.14999999999999997,52.68,0," I cannot believe to be a millionaire.  I cannot become a millionaire if I believe what poor people believe.  Where will you become a millionaire?  If you learn how to get a millionaire, you will learn how to get a millionaire.  You will get a millionaire, you will get a good one.  You will observe a millionaire when spends money in an organization or a family, sometimes it is a loss.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_4.mp4,84,1
5,0.0,90.0,0, ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھا  ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں   ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھایاں ھاں ھاں ھاں ھاں ھا Richardson ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں ھاں,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_5.mp4,78,0
8,0.275,33.0,0, Not full of ourselves.  Not full of ourselves.  I wish we were more full of ourselves that way.  Who else am I supposed to be full of?  I wish more people were more full of themselves.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_1.mp4,95,1
5,-0.5,76.0,0," Whether you failed or succeeded,  When we fail, and go,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_2.mp4,68,1
5,0.3333333333333333,70.0,0," Finding out and looking in the mirror and going.  At the same time, be able to, as we do more often, look in the mirror.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_3.mp4,84,1
5,0.20000000000000004,76.0,0," Life's the ironic tragedy.  The ironic tragedy is that life has to be lived forward,  That ironic tragedy.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_4.mp4,82,0
3,0.0,25.0,0, Half-ass something you just don't know.  Half-ass in ourselves.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_5.mp4,70,0
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/272ceb88359b487abb00d22b62624f3a_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
6,0.0,34.0,0," I am not animating the films.  The projects that say, I don't know if I can animate that.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/272ceb88359b487abb00d22b62624f3a_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_2.mp4,82,0
5,0.4619047619047619,21.0,0," You know, like for me, it's not, you know, you kind of got to get over yourself.  Like, get over yourself. That's where you go.  Get over yourself. Right? And then after that, it's okay.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/272ceb88359b487abb00d22b62624f3a_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_3.mp4,84,0
5,0.0,36.0,0, You know what? I'm doing it.  I'm doing it.  I'm doing it.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/272ceb88359b487abb00d22b62624f3a_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_4.mp4,78,0
9,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/639179fe768f4665a6f2cf4f11ce6ff8_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
5,0.0,34.0,0," I am not animating the films.  The projects that say, I don't know if I can animate that.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/639179fe768f4665a6f2cf4f11ce6ff8_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_2.mp4,78,0
5,0.0,36.0,0, You know what? I'm doing it.  I'm doing it.  I'm doing it.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/639179fe768f4665a6f2cf4f11ce6ff8_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_3.mp4,78,0
4,0.4619047619047619,21.0,0," You know, like for me, it's not, you know, you kind of got to get over yourself.  Like, get over yourself. That's where you go.  Get over yourself. Right? And then after that, it's okay.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/639179fe768f4665a6f2cf4f11ce6ff8_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_4.mp4,80,0
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/4dc24367d5344451b53a8756e8addd40_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
5,0.4619047619047619,21.0,0," You know, like for me, it's not, you know, you kind of got to get over yourself.  Like, get over yourself. That's where you go.  Get over yourself. Right? And then after that, it's okay.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/4dc24367d5344451b53a8756e8addd40_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_2.mp4,84,0
5,0.0,34.0,0," I am not animating the films.  The projects that say, I don't know if I can animate that.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/4dc24367d5344451b53a8756e8addd40_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_3.mp4,78,0
5,0.0,36.0,0, You know what? I'm doing it.  I'm doing it.  I'm doing it.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/4dc24367d5344451b53a8756e8addd40_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_4.mp4,78,0
