llm_score,sentiment,length_sec,keyword_hit,text,clip_path,predicted_score,label
5,0.39999999999999997,62.72,1," And that kind of motivation doesn't last.  Now, that kind of intrinsic motivation",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_3.mp4,100,1
5,0.0,57.84,0, in the prefrontal cortex  There's a system in the brain called the salience network.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_4.mp4,78,1
5,0.6,28.48,0," And eventually,  And when that happens,  And that kind of progress,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_5.mp4,90,1
9,0.475,25.36,0," So when you say, I am becoming someone who speaks with confidence  You don't have to be fully confident",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_1.mp4,100,1
8,0.02500000000000001,27.76,0," If your inner voice is harsh,  When your internal voice becomes calm,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_2.mp4,90,1
8,-0.125,73.28,1," to I am learning, not failing,  In other words, people who saw failures learning  I'm learning, not failing.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_3.mp4,100,1
8,0.30000000000000004,68.08,0," But when you respond with calm presence,  if you speak with intention with presence,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_4.mp4,96,1
7,0.0,64.48,0," It tells your nervous system, I see you.  the ability to notice and interpret signals from within your body.  you've trained your nervous system",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/037a92acdc8f4fe4ae0c03fe6adf18ee_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_5.mp4,86,1
5,-0.6,49.0,0, Fucking hell.  Fucking hell.  Fucking hell.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_2.mp4,66,1
5,-0.30476190476190473,29.0,0," They fucking put letters.  They fucking put letters in his right.  What is your thing with letters, man?",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ae566d2192c14075a2997e5a36828d7e_SIDEMEN BEAT THE CLOCK_clip_4.mp4,71,1
7,0.0,78.04,0, 4th میں اس میں ایک اٹ کرتاوں لہیر  جو بھی سوچ رہنہ کی  میں نہیں او خوش میرے سے نہیں ہو پہ گا  نہیں کمہ سکتے کچھ نہیں کر سکتے  ایسے فیل نہیں ہو سکتا  کر لیس دیں  بچی باتا چیلینج کر میں  کتنی دیرکا دیم پیروض  20 مٹ  20 مٹ  20 مٹنی  20 مٹنی دیگی  دیکھتای کہ سا وہ  جتنے لوگ کو بھی doubt  ہم بھولتے ہیں اس کو  ہم لوگ بھولتے چیلینجا  اور اس میں بہت سارے لوگ  آپ پٹین کر رہے  آپ کی پری فاملی اٹن نہیں کر رہیے  بسکھ بات میں  دین میں راج بہت اعلک رہتا ہے  تو 2-3 دیں بعد میں  آپ کا ایک فاملیم پر  کے تھوڑا سا یہاں  پھر آد دیں بعد میں  ایک دن تو دیکھنے آرہا,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_2.mp4,86,1
6,0.11212121212121211,65.04,1," You asked me, is ten years of success possible in one year?  Ten years?  So, the success of ten years has come in a month.  So, what is the success of ten years?  Ten years can come in a year, if you learn skills in ten years, you will learn them quickly.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_3.mp4,99,1
6,0.14999999999999997,52.68,0," I cannot believe to be a millionaire.  I cannot become a millionaire if I believe what poor people believe.  Where will you become a millionaire?  If you learn how to get a millionaire, you will learn how to get a millionaire.  You will get a millionaire, you will get a good one.  You will observe a millionaire when spends money in an organization or a family, sometimes it is a loss.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/06fb95948cea40c99066d5dcd025d14a_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_4.mp4,84,1
8,0.275,33.0,0, Not full of ourselves.  Not full of ourselves.  I wish we were more full of ourselves that way.  Who else am I supposed to be full of?  I wish more people were more full of themselves.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_1.mp4,95,1
5,-0.5,76.0,0," Whether you failed or succeeded,  When we fail, and go,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_2.mp4,68,1
5,0.3333333333333333,70.0,0," Finding out and looking in the mirror and going.  At the same time, be able to, as we do more often, look in the mirror.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/8064a28b24924a0cba866c5a7b69e740_YOU OWE IT TO YOU IN 2025 - Best Motivational Speech ｜ Matthew McConaughey_clip_3.mp4,84,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/272ceb88359b487abb00d22b62624f3a_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
9,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/639179fe768f4665a6f2cf4f11ce6ff8_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/4dc24367d5344451b53a8756e8addd40_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/84514385f0d0476f9f6c717dede0c844_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/ea70a5fc8aaf4e02accf4b46adcee7c0_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
9,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/341442081af9498593f54b6d77799a63_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/3f6d3c1d3d32479cbcd23ef3a55105ef_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.5,26.0,0," I didn't have the legs. So you look at the shot.  So I look at it with rationale and say, okay, well, the reason why I shot airballs, because my legs aren't there.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/3675f514d5ca4c40918d532c9e2908ef_THE MINDSET OF A WINNER ｜ Kobe Bryant Champions Advice_clip_1.mp4,100,1
8,0.02500000000000001,27.76,0," If your inner voice is harsh,  When your internal voice becomes calm,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/c0441fb5245448798bb6564a28ed9627_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_1.mp4,90,1
8,-0.125,73.28,1," to I am learning, not failing,  In other words, people who saw failures learning  I'm learning, not failing.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/c0441fb5245448798bb6564a28ed9627_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_2.mp4,100,1
8,0.475,25.36,0," So when you say, I am becoming someone who speaks with confidence  You don't have to be fully confident",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/c0441fb5245448798bb6564a28ed9627_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_3.mp4,99,1
8,0.30000000000000004,68.08,0," But when you respond with calm presence,  if you speak with intention with presence,",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/c0441fb5245448798bb6564a28ed9627_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_4.mp4,96,1
7,0.4,26.8,0," In the field of affective neuroscience, we've learned that emotions are real time signals,  The more accurately we label our emotions, the more we regulate them.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/c0441fb5245448798bb6564a28ed9627_Talk to Yourself Like This for Just 8 Days! ｜ Dr. Andrew Huberman ｜ BEST ADVICE FOR 2025_clip_5.mp4,94,1
7,0.9,65.0,0, And my partner and family are in a happy relationship.  I am in a very happy relationship.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/b604afe909ce4d53a63b419158099376_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_2.mp4,100,1
5,0.0,53.0,0, The radio has tuned it.  Our radio is not in the world.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/b604afe909ce4d53a63b419158099376_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_4.mp4,78,1
5,0.0,64.4,0, And this is our attraction.  then it will be the attraction.,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/b604afe909ce4d53a63b419158099376_How To Make Law Of Attraction Work For You？ - COMPLETE GUIDE ｜ Raj Shamani Clips_clip_5.mp4,78,1
